foundation_date,first_funding_age,last_funding_age,first_milestone_age,last_milestone_age,total_funding,roundA,roundB,roundC,roundD,in_Top500,target_codes,connections_bins,funding_rounds_bins,milestones_bins,avg_group_size_bins,state_code_bins,category_bins
0.7852869695270144,0.3650610002423851,0.3894093883816757,0.4848409977660418,0.3705766423613178,6.36843445986202e-05,0,0,0,0,0,1,0,2,2,0,0,0
0.5462703309029726,0.45803021733861193,0.6154609356063666,0.5449880066298115,0.38112724077697774,0.007032997262450377,0,1,1,1,1,1,1,3,0,2,0,1
0.8607216302112546,0.32574937383857155,0.32574937383857155,0.4021999855873663,0.21310178492041545,0.00045403604358465314,1,0,0,0,1,1,0,0,1,2,0,2
0.6146008599738269,0.39357194796800515,0.46414155288034253,0.5191790975632354,0.3460239226242776,0.007015453365866734,0,1,1,1,1,1,0,2,0,2,0,3
0.9075528136100206,0.2923681021249091,0.34629070049284966,0.36567682757342723,0.13724179213150794,0.00022596538799730804,0,0,0,0,1,0,0,1,0,0,0,4
0.6146008599738269,0.4392599175890765,0.4392599175890765,0.4934422516651739,0.31101861932082714,0.0013136869761831078,0,1,0,0,1,0,0,0,0,1,0,0
0.7170499158721257,0.34797123697180254,0.4607772481215157,0.44189907038512616,0.36721963377451683,0.0045593078441568645,1,1,0,0,1,1,1,2,1,1,0,3
0.6828379136287157,0.34558293609113677,0.5108895532035227,0.5089564223725254,0.39359262928333644,0.00598036346743186,1,1,0,1,1,1,3,2,2,2,0,0
0.6146008599738269,0.4082701785570009,0.651495515876222,0.570724852527873,0.4857580923509912,0.0016908807527314092,1,0,0,1,1,1,2,2,3,2,1,5
0.7311647036829314,0.34637795911771835,0.44377474347580187,0.4397835016523055,0.3499585187155855,0.0010066687859693738,1,0,0,0,1,1,2,2,3,0,0,2
0.5760889885959992,0.4419164579461905,0.5977506665589399,0.6255108763910765,0.5086795649540906,0.004822466292911493,1,1,0,0,1,1,3,2,2,0,0,5
0.75116844269957,0.32742991031752444,0.4648493172820554,0.3488243408793765,0.2972090271676159,0.0018224599771087236,1,0,0,0,1,0,1,4,1,1,0,2
0.6828379136287157,0.45085885109477253,0.45085885109477253,0.5021492075992033,0.3312910074930627,5.929837045270972e-05,0,0,0,0,0,0,0,0,0,0,2,2
0.8160403813796973,0.29298860790175324,0.3710818453583259,0.3851364567569515,0.289154306877492,0.001743512442482335,1,1,1,0,1,1,2,2,2,1,3,0
